Course Name,University,Aptitude Score,Family_Income,Parental_Education_Level,Previous Score,Extracurricular activity,Difficulty Level,Course rating
FinTech Risk Management,The Hong Kong University of Science and Technology,71,Low,College,72,No,Beginner,4.6
Multiplatform Mobile App Development with Web Technologies: Ionic and Cordova,The Hong Kong University of Science and Technology,72,Low,High School,66,No,Advanced,4.4
Business English: Basics,The Hong Kong University of Science and Technology,52,Low,High School,71,Yes,Advanced,4.5
Programming with Scratch,The Hong Kong University of Science and Technology,74,Medium,High School,67,Yes,Advanced,3.9
Protecting Business Innovations via Strategy,The Hong Kong University of Science and Technology,71,Medium,College,65,No,Intermediate,4.7
Business English for Cross-cultural Communication,The Hong Kong University of Science and Technology,98,Low,High School,67,Yes,Advanced,4.8
Business Case Analysis,The Hong Kong University of Science and Technology,80,Medium,Postgraduate,63,No,Advanced,4
FinTech Security and Regulation (RegTech),The Hong Kong University of Science and Technology,51,Medium,Postgraduate,66,Yes,Intermediate,4.6
Multiplatform Mobile App Development with React Native,The Hong Kong University of Science and Technology,95,Medium,High School,67,Yes,Intermediate,4.3
Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,86,Medium,High School,73,Yes,Intermediate,4.7
Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,96,High,College,68,Yes,Intermediate,4.7
Green Business Strategy,The Hong Kong University of Science and Technology,58,Low,High School,69,No,Beginner,4.6
Vector Calculus for Engineers,The Hong Kong University of Science and Technology,93,Low,College,66,Yes,Beginner,4.8
Monetary Policy in the Asia Pacific,The Hong Kong University of Science and Technology,81,Medium,High School,67,Yes,Intermediate,4.8
"Accounting, Business and Society: The Multi-faceted Role of Accounting",The Hong Kong University of Science and Technology,80,Low,College,65,Yes,Intermediate,4.8
Introduction to Computers and Office Productivity Software,The Hong Kong University of Science and Technology,98,Medium,Postgraduate,64,Yes,Beginner,4.6
Matrix Algebra for Engineers,The Hong Kong University of Science and Technology,58,High,Postgraduate,71,Yes,Beginner,4.8
Social Science Approaches to the Study of Chinese Society Part 1,The Hong Kong University of Science and Technology,61,High,High School,70,No,Beginner,4.6
Social Science Approaches to the Study of Chinese Society Part 2,The Hong Kong University of Science and Technology,67,High,High School,65,Yes,Advanced,4.4
Developing Android Apps with App Inventor,The Hong Kong University of Science and Technology,96,Medium,Postgraduate,64,Yes,Advanced,4.1
Multiplatform Mobile App Development with NativeScript,The Hong Kong University of Science and Technology,95,Low,High School,66,Yes,Advanced,4.3
FinTech Disruptive Innovation: Implications for Society,The Hong Kong University of Science and Technology,83,Medium,College,71,No,Intermediate,4.8
Protecting Business Innovations via Copyright,The Hong Kong University of Science and Technology,66,High,College,68,No,Intermediate,4.8
Fibonacci Numbers and the Golden Ratio,The Hong Kong University of Science and Technology,56,High,High School,69,Yes,Intermediate,4.8
Introduction to Indoor Air Quality,The Hong Kong University of Science and Technology,89,Low,High School,61,Yes,Beginner,4.7
Chinaï¿½s Economic Transformation Part 1: Economic Reform and Growth in China,The Hong Kong University of Science and Technology,71,Low,High School,68,No,Beginner,4.9
Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,65,High,College,64,Yes,Advanced,4.4
The Science of Gastronomy,The Hong Kong University of Science and Technology,68,High,High School,65,Yes,Intermediate,4.6
"Server-side Development with NodeJS, Express and MongoDB",The Hong Kong University of Science and Technology,100,High,High School,65,No,Advanced,4.6
"Server-side Development with NodeJS, Express and MongoDB",The Hong Kong University of Science and Technology,52,High,College,69,Yes,Advanced,4.6
Chinese Politics Part 2 ï¿½ China and the World,The Hong Kong University of Science and Technology,51,Low,College,66,No,Not Calibrated,4.7
Mastering Statics,The Hong Kong University of Science and Technology,99,Medium,High School,70,Yes,Intermediate,4.7
Chinese Politics Part 1 ï¿½ China and Political Science,The Hong Kong University of Science and Technology,73,Medium,College,71,Yes,Intermediate,4.8
"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology,88,Medium,College,71,No,Beginner,4.7
Front-End Web Development with React,The Hong Kong University of Science and Technology,72,Medium,Postgraduate,67,Yes,Intermediate,4.5
English for Effective Business Writing,The Hong Kong University of Science and Technology,96,High,College,74,No,Advanced,4.4
Linux Tools for Developers,The Linux Foundation,86,Low,High School,68,Yes,Advanced,4.5
Using Git for Distributed Development,The Linux Foundation,82,Medium,High School,66,No,Advanced,4.6
Open Source Software Development Methods,The Linux Foundation,88,Low,High School,66,Yes,Intermediate,4.5
Linux for Developers,The Linux Foundation,88,High,High School,65,Yes,Advanced,4.4
Seeing Through Photographs,The Museum of Modern Art,52,Low,College,68,Yes,Intermediate,4.8
Art & Ideas: Teaching with Themes,The Museum of Modern Art,61,High,College,67,Yes,Intermediate,4.8
Art & Activity: Interactive Strategies for Engaging with Art,The Museum of Modern Art,99,High,College,75,No,Advanced,4.7
What Is Contemporary Art?,The Museum of Modern Art,56,Medium,High School,68,Yes,Intermediate,4.7
Modern Art & Ideas,The Museum of Modern Art,65,Low,High School,64,No,Beginner,4.7
Fashion as Design,The Museum of Modern Art,70,Low,High School,64,Yes,Intermediate,4.8
Epidemics - the Dynamics of Infectious Diseases,The Pennsylvania State University,74,Medium,College,71,No,Intermediate,4.7
Dairy Production and Management,The Pennsylvania State University,90,Medium,High School,68,Yes,Beginner,4.8
Maps and the Geospatial Revolution,The Pennsylvania State University,96,Medium,High School,71,Yes,Intermediate,4.7
Geodesign: Change Your World,The Pennsylvania State University,89,Medium,High School,68,Yes,Intermediate,4.7
"Creativity, Innovation and Transformation",The Pennsylvania State University,68,Medium,High School,65,No,Advanced,4.4
The Roles and Responsibilities of Nonprofit Boards of Directors within the Governance Process,The State University of New York,80,Medium,College,69,No,Intermediate,4.3
Smart Contracts,The State University of New York,69,Low,High School,69,No,Advanced,4.6
International Cyber Conflicts,The State University of New York,72,Medium,High School,67,Yes,Beginner,4.5
Making Sense of the News: News Literacy Lessons for Digital Citizens,The State University of New York,70,Low,Postgraduate,67,Yes,Intermediate,4.8
Digital Thread: Implementation,The State University of New York,81,Medium,High School,67,No,Beginner,4.7
Practical Time Series Analysis,The State University of New York,97,Low,High School,97,No,Intermediate,4.5
Solar Energy Basics,The State University of New York,66,High,High School,69,Yes,Intermediate,4.8
ADHD: Everyday Strategies for Elementary Students,The State University of New York,57,High,Postgraduate,66,Yes,Beginner,4.7
Digital Manufacturing & Design,The State University of New York,90,Low,High School,70,Yes,Beginner,4.7
Career Total Fitness Annual Retreat,The State University of New York,64,Low,College,66,No,Advanced,3
Solar Energy Systems Overview,The State University of New York,53,Low,High School,67,Yes,Beginner,4.7
Safety in the Utility Industry,The State University of New York,55,Low,High School,63,No,Beginner,4.8
Solar Energy System Design,The State University of New York,98,Low,College,68,No,Intermediate,4.7
Foundations for Assisting in Home Care,The State University of New York,64,Medium,College,64,Yes,Beginner,4.6
Job Success: Get Hired or Promoted in 3 Steps,The State University of New York,65,Low,Postgraduate,66,Yes,Conversant,4.5
Intelligent Machining,The State University of New York,78,High,High School,65,No,Beginner,4.6
Empowering Yourself in a Post-Truth World,The State University of New York,75,Medium,High School,69,Yes,Intermediate,4.4
Mastering Remote Work and Online Study in U.S. in the post-COVID Era,The State University of New York,65,Low,College,61,Yes,Advanced,4.1
How to Get Skilled: Introduction to Individual Skills Management (Project-Centered Course),The State University of New York,86,Medium,High School,69,No,Beginner,3.5
Roadmap to Success in Digital Manufacturing & Design,The State University of New York,68,Medium,College,68,Yes,Beginner,4.7
Computer Vision Basics,The State University of New York,88,Low,Postgraduate,65,No,Beginner,3.8
"Big Data, Genes, and Medicine",The State University of New York,65,Low,High School,63,No,Intermediate,4.1
Strategic Self-Marketing and Personal Branding,The State University of New York,94,Medium,Postgraduate,64,No,Intermediate,4.3
Solar Energy and Electrical System Design,The State University of New York,69,Medium,High School,64,Yes,Intermediate,4.7
Advanced Manufacturing Process Analysis,The State University of New York,58,Medium,College,64,No,Conversant,4.5
How to Write a Resume (Project-Centered Course),The State University of New York,68,Medium,High School,67,Yes,Intermediate,4.5
Career Brand Development and Self-Coaching,The State University of New York,80,High,Postgraduate,69,No,Intermediate,4.4
Advanced Manufacturing Enterprise,The State University of New York,100,Low,High School,67,Yes,Beginner,4.6
MBSE: Model-Based Systems Engineering,The State University of New York,84,Low,College,72,Yes,Beginner,4.4
"Introduction to the Nonprofit Sector, Nonprofit Organizations, Nonprofit Leadership and Governance",The State University of New York,87,Medium,High School,70,No,Intermediate,4.4
Decentralized Applications (Dapps),The State University of New York,60,Medium,College,67,No,Advanced,4.5
Energy: The Enterprise,The State University of New York,73,High,College,66,No,Beginner,4.7
Capstone - Managing Board Change for Higher Levels of Leadership and Governance Effectiveness,The State University of New York,79,Low,College,71,No,Advanced,4.1
Cyber Security in Manufacturing,The State University of New York,90,Low,High School,66,No,Beginner,4.7
Ignite Your Everyday Creativity,The State University of New York,95,High,High School,69,Yes,Advanced,4.3
How To Create a Website in a Weekend! (Project-Centered Course),The State University of New York,92,Medium,High School,65,Yes,Advanced,3
The Factors that Influence the Effectiveness of Boards and the Governance Process,The State University of New York,76,Medium,Postgraduate,64,Yes,Advanced,4.6
Electric Power Systems,The State University of New York,82,Low,College,62,Yes,Beginner,4.7
Blockchain Platforms,The State University of New York,96,High,College,68,No,Advanced,4.6
Global Health Diplomacy,The State University of New York,91,High,High School,72,Yes,Beginner,4.5
"Solar Energy Codes, Permitting and Zoning",The State University of New York,78,Low,Postgraduate,68,Yes,Intermediate,4.8
Strategic Career Self-Management,The State University of New York,81,High,High School,71,No,Beginner,4.5
Metaliteracy: Empowering Yourself in a Connected World,The State University of New York,82,Medium,Postgraduate,64,Yes,Beginner,4.3
Blockchain Basics,The State University of New York,81,Low,Postgraduate,71,No,Beginner,4.5
Collaborative Robot Safety: Design & Deployment,The State University of New York,69,Low,High School,70,No,Beginner,4.7
Digital Thread: Components,The State University of New York,70,Low,Postgraduate,68,Yes,Beginner,4.6
Exploring Emerging Technologies for Lifelong Learning and Success,The State University of New York,53,Medium,Postgraduate,65,No,Beginner,3.7
Natural Gas,The State University of New York,67,Medium,College,73,Yes,Beginner,4.7
Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,59,Low,Postgraduate,68,Yes,Intermediate,4.9
Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,90,Medium,Postgraduate,73,Yes,Beginner,4.8
Global Warming I: The Science and Modeling of Climate Change,The University of Chicago,96,High,College,61,No,Advanced,4.5
Critical Issues in Urban Education,The University of Chicago,80,Low,High School,70,No,Not Calibrated,4.7
Software Defined Networking,The University of Chicago,87,Low,College,66,Yes,Advanced,4.6
"Philosophy, Science and Religion: Philosophy and Religion",The University of Edinburgh,58,Low,High School,66,No,Intermediate,4.6
Data Science in Stratified Healthcare and Precision Medicine,The University of Edinburgh,51,Medium,High School,67,Yes,Conversant,4.6
AstroTech: The Science and Technology behind Astronomical Discovery,The University of Edinburgh,87,Medium,High School,65,Yes,Beginner,4.7
Code Yourself! An Introduction to Programming,The University of Edinburgh,66,High,High School,65,Yes,Conversant,4.7
EDIVET: Do you have what it takes to be a veterinarian?,The University of Edinburgh,79,Low,High School,73,Yes,Beginner,4.7
Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,The University of Edinburgh,85,Medium,College,70,No,Beginner,4.6
Introduction to Philosophy,The University of Edinburgh,64,Medium,High School,72,Yes,Beginner,4.6
Intellectual Humility: Science,The University of Edinburgh,57,Medium,College,66,Yes,Intermediate,4.7
Intellectual Humility: Theory,The University of Edinburgh,86,Low,Postgraduate,65,No,Beginner,4.5
Fundamentals of Music Theory,The University of Edinburgh,94,Medium,College,72,Yes,Intermediate,4.2
Research Data Management and Sharing,The University of Edinburgh,98,Low,High School,64,No,Intermediate,4.7
"Philosophy, Science and Religion: Science and Philosophy",The University of Edinburgh,72,Low,College,69,No,Beginner,4.3
Know Thyself - The Value and Limits of Self-Knowledge: The Unconscious,The University of Edinburgh,71,Medium,High School,68,Yes,Advanced,4.7
The Making of the US President: A Short History in Five Elections,The University of Edinburgh,52,Medium,High School,59,Yes,Intermediate,4.6
Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life,The University of Edinburgh,58,Medium,College,59,Yes,Beginner,4.6
Chicken Behaviour and Welfare,The University of Edinburgh,70,Low,College,63,No,Beginner,4.7
Philosophy and the Sciences: Introduction to the Philosophy of Physical Sciences,The University of Edinburgh,86,Low,High School,64,Yes,Beginner,4.6
Understanding Obesity,The University of Edinburgh,77,Medium,Postgraduate,65,No,Intermediate,4.6
Intellectual Humility: Practice,The University of Edinburgh,71,Medium,High School,68,No,Beginner,4.6
Digital Footprint,The University of Edinburgh,68,Low,Postgraduate,71,Yes,Conversant,4.6
Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,88,High,High School,68,Yes,Beginner,4.7
"Philosophy, Science and Religion: Religion and Science",The University of Edinburgh,92,Low,College,67,Yes,Beginner,4.4
"Sit Less, Get Active",The University of Edinburgh,56,High,High School,69,No,Intermediate,4.5
Materials in Oral Health,The University of Hong Kong,71,Low,College,67,Yes,Intermediate,4.7
Implant Dentistry,The University of Hong Kong,68,Low,College,63,Yes,Advanced,4.9
University Teaching,The University of Hong Kong,92,Medium,High School,65,Yes,Intermediate,4.8
Epidemics,The University of Hong Kong,69,Low,High School,63,No,Beginner,4.8
Epigenetic Control of Gene Expression,The University of Melbourne,79,Low,High School,66,No,Beginner,4.8
Advanced Modeling for Discrete Optimization,The University of Melbourne,95,Medium,High School,70,Yes,Advanced,4.9
Basic Modeling for Discrete Optimization,The University of Melbourne,80,Medium,High School,67,No,Intermediate,4.8
Essentials of Corporate Finance Capstone,The University of Melbourne,52,Low,High School,64,No,Intermediate,4.7
Solving Algorithms for Discrete Optimization,The University of Melbourne,81,Medium,Postgraduate,71,Yes,Advanced,4.8
The Language and Tools of Financial Analysis,The University of Melbourne,72,Low,College,69,No,Conversant,4.6
Assessment and Teaching of 21st Century Skills,The University of Melbourne,96,Low,High School,72,Yes,Not Calibrated,4.6
Alternative Approaches to Valuation and Investment,The University of Melbourne,80,High,College,70,No,Intermediate,4.7
Moving to the Cloud,The University of Melbourne,54,Medium,College,62,Yes,Beginner,4.5
The Role of Global Capital Markets,The University of Melbourne,53,Medium,College,65,No,Beginner,4.6
Foundations of International Psychiatry,The University of Melbourne,75,Medium,High School,63,No,Advanced,4.4
Corporate Financial Decision-Making for Value Creation,The University of Melbourne,78,Medium,High School,70,Yes,Beginner,4.7
Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,85,Medium,High School,62,Yes,Beginner,4.8
Psychology of Popularity,The University of North Carolina at Chapel Hill,83,Low,College,64,No,Beginner,4.6
"The American South: Its Stories, Music, and Art",The University of North Carolina at Chapel Hill,82,Low,College,67,No,Beginner,4.4
Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,99,Low,High School,69,No,Intermediate,4.6
Reasoning Across the Disciplines,The University of North Carolina at Chapel Hill,77,Low,High School,71,No,Advanced,4.5
Infection Prevention in Nursing Homes,The University of North Carolina at Chapel Hill,91,High,College,63,No,Beginner,4.8
Positive Psychology,The University of North Carolina at Chapel Hill,79,Low,High School,70,No,Beginner,4.6
Fundamentals of Rehearsing Music Ensembles,The University of North Carolina at Chapel Hill,65,Medium,College,66,No,Beginner,4.8
Whatï¿½s Your Big Idea?,The University of North Carolina at Chapel Hill,77,High,High School,71,Yes,Advanced,4.6
Understanding the Australian economy: An introduction to macroeconomic and financial policies,The University of Sydney,87,Low,High School,63,Yes,Intermediate,4.6
Information & Digital Literacy for University Success,The University of Sydney,78,Low,High School,65,No,Beginner,4.9
Data-driven Astronomy,The University of Sydney,65,Low,College,65,No,Advanced,4.8
The Place of Music in 21st Century Education,The University of Sydney,59,High,High School,62,No,Beginner,4.8
Positive Psychiatry and Mental Health,The University of Sydney,63,High,High School,67,Yes,Intermediate,4.7
"Easing the burden of obesity, diabetes and cardiovascular disease",The University of Sydney,100,High,College,69,No,Intermediate,4.4
Ethical Social Media,The University of Sydney,54,Medium,Postgraduate,70,Yes,Advanced,4.2
Communication Skills for University Success,The University of Sydney,59,Medium,Postgraduate,63,No,Beginner,4.8
eHealth: More than just an electronic record,The University of Sydney,72,Low,High School,65,No,Beginner,4.5
Cultural Competence - Aboriginal Sydney,The University of Sydney,90,High,High School,65,No,Beginner,4.6
Academic Skills for University Success: Capstone,The University of Sydney,79,High,High School,65,No,Beginner,4.7
Introduction to Calculus,The University of Sydney,87,Low,High School,67,No,Beginner,4.8
Using clinical health data for better healthcare,The University of Sydney,62,High,College,66,Yes,Intermediate,4.6
Problem-Solving Skills for University Success,The University of Sydney,99,Medium,High School,72,Yes,Beginner,4.8
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,71,Medium,Postgraduate,66,No,Conversant,4.5
"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,61,Low,Postgraduate,67,No,Intermediate,4.7
Critical Thinking Skills for University Success,The University of Sydney,89,Low,High School,62,Yes,Intermediate,4.7
Interactive Computer Graphics,The University of Tokyo,51,Low,College,59,No,Advanced,4.3
Welcome to Game Theory,The University of Tokyo,54,Medium,College,68,Yes,Advanced,4.6
Words Spun Out of Images: Visual and Literary Culture in Nineteenth Century Japan,The University of Tokyo,59,High,College,70,No,Intermediate,4.8
From the Big Bang to Dark Energy,The University of Tokyo,64,High,College,65,Yes,Beginner,4.8
Global Health Policy,The University of Tokyo,73,Medium,High School,62,No,Intermediate,4.6
Studying at Japanese Universities,The University of Tokyo,60,Low,Postgraduate,71,No,Beginner,4.8
From Climate Science to Action,The World Bank Group,75,Medium,College,67,Yes,Intermediate,4.7
Conversational English Skills,Tsinghua University,99,Medium,High School,71,No,Advanced,4.5
General Academic English,Tsinghua University,84,Medium,High School,70,Yes,Intermediate,4.1
Just Reading and Writing English 2,Tsinghua University,96,Low,College,67,Yes,Advanced,4.9
Just Reading and Writing English 1,Tsinghua University,57,Medium,College,65,Yes,Intermediate,4.2
Integrating Scripts for Scene Interactions,Unity,65,Medium,College,64,Yes,Advanced,4.8
"Lighting, Reflection, and Post Processing Effects",Unity,75,Low,Postgraduate,70,No,Advanced,4.7
Handheld AR App Development with Unity,Unity,84,High,College,70,No,Advanced,3.8
Core Interaction Programming,Unity,59,High,College,69,Yes,Beginner,4.6
"Introduction to XR: VR, AR, and MR Foundations",Unity,97,Medium,College,70,Yes,Intermediate,3.9
3D Art and Audio Pipeline,Unity,72,Low,College,76,No,Advanced,4.3
Mobile VR App Development with Unity,Unity,70,Medium,High School,68,No,Advanced,2.9
Character Setup and Animation,Unity,73,Medium,College,71,Yes,Advanced,4.9
3D Interactions and Navigation,Unity,69,Medium,College,67,Yes,Advanced,4.5
Creating Cutscenes in Unity,Unity,91,High,Postgraduate,69,Yes,Advanced,4.9
Application Systems Programming,Unity,78,Low,High School,67,No,Advanced,3.8
Asset Creation and Management,Unity,97,Medium,High School,67,No,Advanced,4.6
Magic in the Middle Ages,Universitat de Barcelona,51,Medium,High School,67,Yes,Beginner,4.4
The entrepreneur's guide for beginners,Universitat de Barcelona,94,Medium,High School,71,Yes,Beginner,4.6
Oceanography: a key to better understand our world,Universitat de Barcelona,64,Medium,Postgraduate,66,Yes,Advanced,4.4
A Voice of Their Own. Women's Spirituality in the Middle Ages.,Universitat de Barcelona,89,Low,College,70,Yes,Advanced,4.4
Prehospital care of acute stroke and patient selection for endovascular treatment using the RACE scale,Universitat de Barcelona,97,Medium,College,68,No,Beginner,4.8
Population Health: Alternative Payment Models,Universiteit Leiden,90,High,High School,65,No,Advanced,4.9
The Rooseveltian Century,Universiteit Leiden,81,Low,Postgraduate,66,No,Advanced,4.7
International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,97,High,High School,69,Yes,Advanced,4.8
Political Economy of Institutions and Development,Universiteit Leiden,53,Medium,College,66,Yes,Intermediate,4.7
De-Mystifying Mindfulness,Universiteit Leiden,78,Low,High School,61,No,Intermediate,4.8
A Circular Economy of Metals: Towards a Sustainable Societal Metabolism,Universiteit Leiden,66,Low,College,63,Yes,Beginner,4.7
Population Health: Fundamentals of Population Health Management,Universiteit Leiden,85,Medium,High School,67,No,Advanced,4.5
International Humanitarian Law in Theory and Practice,Universiteit Leiden,82,Medium,High School,62,No,Beginner,4.8
Rethinking International Tax Law,Universiteit Leiden,64,Low,High School,62,No,Intermediate,4.8
EU policy and implementation: making Europe work!,Universiteit Leiden,71,Medium,High School,65,Yes,Advanced,4.2
Population Health: Panel Management Next Level,Universiteit Leiden,79,Low,High School,64,Yes,Advanced,5
Evolution Today,Universiteit Leiden,64,Low,High School,64,Yes,Intermediate,4.6
Population Health: Study Design,Universiteit Leiden,94,Low,High School,71,Yes,Intermediate,4.4
Population Health: Responsible Data Analysis,Universiteit Leiden,80,Low,College,72,Yes,Advanced,4.8
The Cosmopolitan Medieval Arabic World,Universiteit Leiden,61,Medium,High School,66,Yes,Intermediate,4.8
Population Health: Health & Health Behaviour,Universiteit Leiden,79,Low,College,65,Yes,Intermediate,3.9
"Knowledge Exchange: Using, Protecting and Monetizing Ideas with Third Parties",Universiteit Leiden,89,Low,College,70,Yes,Advanced,4.4
The Changing Global Order,Universiteit Leiden,50,Medium,High School,67,Yes,Intermediate,4.7
Security & Safety Challenges in a Globalized World,Universiteit Leiden,56,Low,Postgraduate,72,Yes,Intermediate,4.8
Population Health: Syndemics,Universiteit Leiden,76,Medium,High School,64,Yes,Intermediate,5
Population Health: Governance,Universiteit Leiden,65,Low,High School,69,No,Advanced,4.8
Risk in Modern Society,Universiteit Leiden,73,High,Postgraduate,72,Yes,Intermediate,4.8
On Being a Scientist,Universiteit Leiden,65,Medium,High School,60,Yes,Advanced,4.5
Mind of the Universe - Genetic Privacy: should we be concerned?,Universiteit Leiden,82,Low,College,73,Yes,Beginner,3.8
Federalism & Decentralization: Evaluating Africa's Track Record,Universiteit Leiden,64,Low,High School,64,No,Not Calibrated,4.6
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,61,Medium,College,61,Yes,Intermediate,4.8
Heritage under Threat,Universiteit Leiden,84,Low,High School,65,Yes,Intermediate,4.6
"Clinical Kidney, Pancreas and Islet Transplantation",Universiteit Leiden,70,Low,Postgraduate,63,Yes,Advanced,4.7
Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,91,High,Postgraduate,67,Yes,Intermediate,4.6
Osteoarchaeology: The Truth in Our Bones,Universiteit Leiden,70,Medium,High School,68,No,Intermediate,4.5
Population Health: Predictive Analytics,Universiteit Leiden,62,High,College,70,No,Advanced,5
International Law In Action: Investigating and Prosecuting International Crimes,Universiteit Leiden,72,Low,Postgraduate,66,Yes,Advanced,4.9
The Importance and Power of Music in our Society,Universiteit Leiden,94,Low,High School,71,No,Advanced,4.6
Prediction and Control with Function Approximation,University of Alberta,87,Medium,High School,71,Yes,Beginner,4.8
Bugs 101: Insect-Human Interactions,University of Alberta,62,Medium,College,68,Yes,Intermediate,4.9
Introduction to the Arctic: Climate,University of Alberta,69,Low,College,66,Yes,Beginner,4.5
Software Product Management Capstone,University of Alberta,54,High,High School,64,Yes,Advanced,4.8
Design Patterns,University of Alberta,75,Medium,Postgraduate,68,Yes,Advanced,4.6
Astro 101: Black Holes,University of Alberta,78,Low,High School,64,Yes,Beginner,4.8
A Complete Reinforcement Learning System (Capstone),University of Alberta,62,Medium,High School,65,No,Intermediate,4.6
Software Processes and Agile Practices,University of Alberta,91,High,High School,70,Yes,Beginner,4.7
Software Architecture,University of Alberta,99,Low,College,68,No,Advanced,4.3
Service-Oriented Architecture,University of Alberta,76,High,High School,68,Yes,Advanced,4.4
Client Needs and Software Requirements,University of Alberta,82,Low,High School,65,No,Conversant,4.7
Introduction to Software Product Management,University of Alberta,86,Medium,Postgraduate,68,No,Beginner,4.6
Agile Planning for Software Products,University of Alberta,98,Low,Postgraduate,67,No,Advanced,4.7
Reviews & Metrics for Software Improvements,University of Alberta,58,High,High School,89,Yes,Advanced,4.6
Object-Oriented Design,University of Alberta,51,Medium,College,68,Yes,Advanced,4.7
Sample-based Learning Methods,University of Alberta,78,High,High School,70,No,Intermediate,4.7
"Problem Solving, Python Programming, and Video Games",University of Alberta,77,Medium,Postgraduate,73,Yes,Advanced,4.2
Mountains 101,University of Alberta,90,Low,High School,63,Yes,Beginner,4.9
Fundamentals of Reinforcement Learning,University of Alberta,78,High,College,65,Yes,Beginner,4.6
Dino 101: Dinosaur Paleobiology,University of Alberta,79,Low,College,72,Yes,Beginner,4.9
Paleontology: Ancient Marine Reptiles,University of Alberta,57,Low,Postgraduate,66,Yes,Beginner,4.8
Science Literacy,University of Alberta,79,High,College,64,Yes,Advanced,4.9
Science & Religion 101,University of Alberta,67,High,High School,71,No,Not Calibrated,4.5
Paleontology: Early Vertebrate Evolution,University of Alberta,86,High,High School,67,Yes,Beginner,4.8
Paleontology: Theropod Dinosaurs and the Origin of Birds,University of Alberta,76,Low,College,71,Yes,Beginner,4.9
Qualitative Research Methods,University of Amsterdam,79,Low,High School,66,Yes,Advanced,4.5
Ebola: Essential Knowledge for Health Professionals,University of Amsterdam,54,Medium,High School,89,No,Intermediate,4.6
Methods and Statistics in Social Science - Final Research Project,University of Amsterdam,88,Low,Postgraduate,72,No,Advanced,3.5
Introduction to Communication Science,University of Amsterdam,71,Low,High School,70,No,Advanced,4.6
Teaching in University Science Laboratories (Developing Best Practice),University of Amsterdam,74,Low,High School,69,Yes,Intermediate,4.7
Unraveling the Cycling City,University of Amsterdam,83,Low,College,65,Yes,Conversant,4.9
Big History - From the Big Bang until Today,University of Amsterdam,92,High,High School,72,No,Beginner,4.6
Media ethics & governance,University of Amsterdam,73,Low,High School,67,Yes,Intermediate,4.8
Reclaiming the Street,University of Amsterdam,63,Medium,High School,68,Yes,Beginner,5
Inferential Statistics,University of Amsterdam,62,Low,College,70,No,Intermediate,4.1
Logic for Economists,University of Amsterdam,54,Medium,High School,62,No,Intermediate,4.3
Basic Statistics,University of Amsterdam,93,Low,Postgraduate,69,Yes,Advanced,4.6
Data Analytics for Lean Six Sigma,University of Amsterdam,61,Medium,High School,69,No,Advanced,4.8
Quantitative Methods,University of Amsterdam,77,Medium,High School,64,No,Intermediate,4.6
Classical Sociological Theory,University of Amsterdam,72,Low,High School,66,No,Beginner,4.8
Astrobiology: Exploring Other Worlds,University of Arizona,83,Low,High School,68,No,Intermediate,4.9
Biosphere 2 Science for the Future of Our Planet,University of Arizona,56,Medium,High School,66,No,Beginner,4.8
Astronomy: Exploring Time and Space,University of Arizona,96,Low,College,68,Yes,Beginner,4.8
Roman Art and Archaeology,University of Arizona,52,High,High School,62,Yes,Beginner,4.7
Food & Beverage Management,University of Bocconi,96,Low,High School,64,No,Beginner,4.8
Challenges of Agribusiness Management,University of Bocconi,56,High,High School,68,Yes,Beginner,4.6
Private Equity and Venture Capital,University of Bocconi,73,High,Postgraduate,71,Yes,Beginner,4.7
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,University of Bocconi,79,Medium,High School,71,No,Intermediate,4.6
Management of Fashion and Luxury Companies,University of Bocconi,59,Low,Postgraduate,68,Yes,Intermediate,4.7
International Leadership and Organizational Behavior,University of Bocconi,66,Medium,College,63,Yes,Beginner,4.8
A Scientific Approach to Innovation Management,University of Bocconi,67,Low,High School,65,No,Beginner,4.4
Arts and Heritage Management,University of Bocconi,91,Medium,College,69,No,Beginner,4.8
Financing and Investing in Infrastructure,University of Bocconi,64,High,Postgraduate,67,No,Intermediate,4.8
Management of International Development: Towards Agenda 2030,University of Bocconi,85,Medium,High School,68,Yes,Not Calibrated,Not Calibrated
"Learn to Teach Java: Boolean Expressions, If Statements, and Iteration",University of California San Diego,58,Low,College,69,No,Advanced,Not Calibrated
